date,net_worth
2025-02-10,47604.887145996094
2025-02-11,48108.136810302734
2025-02-12,48443.529724121094
2025-02-13,49037.64318847656
2025-02-14,49259.29312133789
2025-02-18,49311.310485839844
2025-02-19,49636.31872558594
2025-02-20,49862.01208496094
2025-02-21,49396.44903564453
2025-02-24,49335.60125732422
2025-02-25,48994.12222290039
2025-02-26,48360.75109863281
2025-02-27,47629.318908691406
2025-02-28,48372.91326904297
2025-03-03,47487.71841430664
2025-03-04,47263.60952758789
2025-03-05,47924.037536621094
2025-03-06,47652.26354980469
2025-03-07,47866.58529663086
2025-03-10,45871.430419921875
2025-03-11,45157.907470703125
2025-03-12,44888.67803955078
2025-03-13,43839.68328857422
2025-03-14,44795.69937133789
2025-03-17,44859.41229248047
2025-03-18,44431.12127685547
2025-03-19,44947.3219909668
2025-03-20,44768.283294677734
2025-03-21,45469.038146972656
2025-03-24,45839.198822021484
2025-03-25,46285.155700683594
2025-03-26,45756.34802246094
2025-03-27,46044.701904296875
2025-03-28,44744.3450012207
2025-03-31,45021.83248901367
2025-04-01,45511.593994140625
2025-04-02,45585.74865722656
2025-04-03,42815.98974609375
2025-04-04,40460.51168823242
2025-04-07,39591.60803222656
2025-04-08,38417.34259033203
2025-04-09,43293.36248779297
2025-04-10,41865.49917602539
2025-04-11,43104.46951293945
2025-04-14,43549.404205322266
2025-04-15,43393.46960449219
2025-04-16,41753.725036621094
2025-04-17,41841.171478271484
2025-04-21,40946.093811035156
2025-04-22,42091.6725769043
2025-04-23,43041.159423828125
2025-04-24,44164.062103271484
2025-04-25,44513.82437133789
2025-04-28,44570.41891479492
2025-04-29,44846.0751953125
2025-04-30,45054.76736450195
2025-05-01,46799.51010131836
2025-05-02,46466.36297607422
2025-05-05,45805.553955078125
2025-05-06,45606.79495239258
2025-05-07,45360.71829223633
2025-05-08,45761.554626464844
2025-05-09,45906.54898071289
2025-05-12,47861.8352355957
2025-05-13,48090.648864746094
2025-05-14,48233.26483154297
2025-05-15,48192.565368652344
2025-05-16,48234.36422729492
2025-05-19,48214.565032958984
2025-05-20,47964.86624145508
2025-05-21,47132.165435791016
2025-05-22,47177.814697265625
2025-05-23,46250.51550292969
2025-05-27,47371.96630859375
2025-05-28,47211.91442871094
